"","lat","long","state","county","county_state","elevation"
"1",36.6,-83.56,"virginia","lee","lee, virginia",1513.57
"2",36.6,-83.5,"virginia","lee","lee, virginia",1738.02
"3",36.6,-83.44,"virginia","lee","lee, virginia",1709.66
"4",36.66,-83.44,"virginia","lee","lee, virginia",2103.98
"5",36.6,-83.38,"virginia","lee","lee, virginia",1561.05
"6",36.66,-83.38,"virginia","lee","lee, virginia",1599.98
"7",36.6,-83.32,"virginia","lee","lee, virginia",1345.15
"8",36.66,-83.32,"virginia","lee","lee, virginia",1637.99
"9",36.6,-83.26,"virginia","lee","lee, virginia",1846.92
"10",36.66,-83.26,"virginia","lee","lee, virginia",1555.97
"11",36.6,-83.2,"virginia","lee","lee, virginia",1456.79
"12",36.66,-83.2,"virginia","lee","lee, virginia",1352.01
"13",36.72,-83.2,"virginia","lee","lee, virginia",1586.98
"14",36.6,-83.14,"virginia","lee","lee, virginia",1641.8
"15",36.66,-83.14,"virginia","lee","lee, virginia",1630.03
"16",36.72,-83.14,"virginia","lee","lee, virginia",1578.99
"17",36.6,-83.08,"virginia","lee","lee, virginia",1197.61
"18",36.66,-83.08,"virginia","lee","lee, virginia",1538.95
"19",36.72,-83.08,"virginia","lee","lee, virginia",1993.42
"20",36.78,-83.08,"virginia","lee","lee, virginia",1962.99
"21",36.6,-83.02,"virginia","lee","lee, virginia",1416.27
"22",36.66,-83.02,"virginia","lee","lee, virginia",1512.87
"23",36.72,-83.02,"virginia","lee","lee, virginia",1441.4
"24",36.78,-83.02,"virginia","lee","lee, virginia",1844.05
"25",36.84,-83.02,"virginia","lee","lee, virginia",2121.01
"26",36.6,-82.96,"virginia","scott","scott, virginia",1242.28
"27",36.66,-82.96,"virginia","scott","scott, virginia",2235.01
"28",36.72,-82.96,"virginia","lee","lee, virginia",1887.08
"29",36.78,-82.96,"virginia","lee","lee, virginia",1596
"30",36.84,-82.96,"virginia","lee","lee, virginia",1988.14
"31",36.6,-82.9,"virginia","scott","scott, virginia",1370.38
"32",36.66,-82.9,"virginia","scott","scott, virginia",1592.8
"33",36.72,-82.9,"virginia","lee","lee, virginia",2068.95
"34",36.78,-82.9,"virginia","lee","lee, virginia",1517.51
"35",36.84,-82.9,"virginia","lee","lee, virginia",2160.42
"36",36.6,-82.84,"virginia","scott","scott, virginia",1529.97
"37",36.66,-82.84,"virginia","scott","scott, virginia",1533.51
"38",36.72,-82.84,"virginia","scott","scott, virginia",2293.84
"39",36.78,-82.84,"virginia","lee","lee, virginia",2494.99
"40",36.84,-82.84,"virginia","wise","wise, virginia",1873.58
"41",36.9,-82.84,"virginia","wise","wise, virginia",2194.73
"42",36.96,-82.84,"virginia","wise","wise, virginia",2578.14
"43",36.6,-82.78,"virginia","scott","scott, virginia",1515.1
"44",36.66,-82.78,"virginia","scott","scott, virginia",1761.46
"45",36.72,-82.78,"virginia","scott","scott, virginia",1504.87
"46",36.78,-82.78,"virginia","scott","scott, virginia",3023.54
"47",36.84,-82.78,"virginia","wise","wise, virginia",2345.03
"48",36.9,-82.78,"virginia","wise","wise, virginia",1799.62
"49",36.96,-82.78,"virginia","wise","wise, virginia",2218.54
