"","linenumber","sentiment","method","text","created_at","favorite_count","retweet_count","date"
"1",1,0,"AFINN","Just briefed by Attorney General Barr about the shootings in Texas. FBI and Law Enforcement is fully engaged. More to follow.",2019-08-31 22:35:12,69463,14684,"2019-08-31"
"2",2,-2,"AFINN","“The vindication belongs to the President for firing James Comey. It was clearly the right thing to do. You don’t want an FBI Director with Jim Comey’s ethics.” Jason Riley, Wall Street Journal",2019-08-31 20:14:14,73209,17902,"2019-08-31"
"3",3,1,"AFINN","Enjoy the low gas prices over the Labor Day weekend! My energy policies have made America energy independent while keeping prices low, just like a Tax Cut. The Democrats “green” policies will raise your price of gas! https://t.co/iBS1UQul7A",2019-08-31 19:08:05,67022,16998,"2019-08-31"
"4",4,6,"AFINN","....but now we are moving forward like never before. We are winning again, and we are respected again!",2019-08-31 19:06:47,72090,13678,"2019-08-31"
"5",5,-5,"AFINN","Being scolded by failed former “Intelligence” officials, like James Clapper, on my condolences to Iran on their failed Rocket launch. Sadly for the United States, guys like him, Comey, and the even dumber John Brennan, don’t have a clue. They really set our Country back,....",2019-08-31 19:06:26,87657,19173,"2019-08-31"
"6",6,-4,"AFINN","Just watched Congresswoman Debbie Dingell, and many other Democrats, wanting to give up on our very successful Trade battle with China, which has had its worst Economic year in memory (and getting worse). We are taking in $Billions. Will be big for Farmers and ALL!",2019-08-31 18:29:37,68054,15709,"2019-08-31"
"7",7,0,"AFINN","Here are the latest Key Messages on Hurricane Dorian from @NWSNHC https://t.co/VRiU5VYSJX",2019-08-31 15:18:00,0,4626,"2019-08-31"
"8",8,8,"AFINN","Has anyone noticed that the top shows on @foxnews and cable ratings are those that are Fair (or great) to your favorite President, me! Congratulations to @seanhannity for being the number one show on Cable Television!",2019-08-31 14:24:01,69531,14525,"2019-08-31"
"9",9,0,"AFINN","Dan will be GREAT! https://t.co/5zfVFweUCh",2019-08-31 14:04:39,35199,8887,"2019-08-31"
"10",10,2,"AFINN","Looking like our great South Carolina could get hit MUCH harder than first thought. Georgia and North Carolina also. It’s moving around and very hard to predict, except that it is one of the biggest and strongest (and really wide) that we have seen in decades. Be safe!",2019-08-31 14:00:32,47991,11118,"2019-08-31"
"11",11,0,"AFINN","MAKE AMERICA GREAT AGAIN, which is happening, and then, KEEP AMERICA GREAT!",2019-08-31 13:09:45,155725,29073,"2019-08-31"
"12",12,0,"AFINN","I was right about Comey, CROOKED COP!",2019-08-31 13:07:49,81591,18587,"2019-08-31"
"13",13,-2,"AFINN","Make sure to have a tank full of gas and stock your vehicle with emergency supplies in case you need to evacuate. Listen to directions from local officials and know your evacuation route ahead of time. &gt;&gt;https://t.co/UyLDQnO8aN #FLPrepares https://t.co/1morJBSdbm",2019-08-31 13:03:35,0,3669,"2019-08-31"
"14",14,0,"AFINN","Find the latest information, on #HurricaneDorian&gt;&gt;&gt; 
https://t.co/Dn8xfWBr2W #flprepares https://t.co/JinCfSiUL2",2019-08-31 13:03:30,0,3219,"2019-08-31"
"15",15,0,"AFINN","As you plan for Hurricane #Dorian, consider the specific medical needs of all members of your household. Planning ahead can save your life in a disaster.

✅ Follow @PHEgov, @HC_Ready, @CDCemergency &amp; @FDA_Drug_Info to learn how to #PrepYourHealth throughout hurricane season. https://t.co/W0tooNZgqK",2019-08-31 13:03:23,0,3993,"2019-08-31"
"16",16,1,"AFINN","Make a blood donation this #LaborDayWeekend and you'll receive this free tote bag while supplies last to carry everything you need for your weekend plans. ⛱",2019-08-31 13:02:58,0,2657,"2019-08-31"
"17",17,0,"AFINN","Serving the military is part of what we do. For these #MilitarySpouses, joining the Red Cross as a volunteer helped them get involved in their ever-changing communities: https://t.co/G1L5ujf2Bw",2019-08-31 13:02:45,0,2570,"2019-08-31"
"18",18,-1,"AFINN","The free Red Cross Emergency App puts real-time weather alerts, open Red Cross shelter locations and #hurricane tips in the palm of your hand. Download today: https://t.co/2dsoMseqdf #Dorian",2019-08-31 13:02:31,0,2488,"2019-08-31"
